,FlightNum,Qty_Cancelled,Qty,CancelledRatio
862,6141,101,2139,4.72
863,4379,124,2629,4.72
864,5550,33,700,4.71
865,4506,113,2401,4.71
866,4115,97,2061,4.71
867,7592,12,255,4.71
868,4414,103,2189,4.71
869,7953,17,362,4.7
870,4341,114,2426,4.7
871,5104,38,808,4.7
872,5681,33,702,4.7
873,7337,21,448,4.69
874,4922,75,1598,4.69
875,6027,36,769,4.68
876,5010,30,641,4.68
877,4197,98,2094,4.68
878,7537,11,235,4.68
879,7435,20,428,4.67
880,6362,5,107,4.67
881,2984,69,1478,4.67
882,7974,17,364,4.67
883,2240,203,4349,4.67
884,4990,48,1027,4.67
885,5282,33,707,4.67
886,4640,80,1712,4.67
887,5208,46,985,4.67
888,4342,109,2340,4.66
889,2225,212,4553,4.66
890,5517,27,579,4.66
891,7342,25,537,4.66
892,7957,17,365,4.66
893,7668,16,343,4.66
894,2217,228,4890,4.66
895,4532,158,3401,4.65
896,4449,49,1054,4.65
897,6866,65,1398,4.65
898,7535,19,409,4.65
899,4694,59,1268,4.65
900,4275,123,2648,4.65
901,4881,58,1250,4.64
902,6227,77,1658,4.64
903,4365,159,3427,4.64
904,4092,104,2242,4.64
905,5470,49,1056,4.64
906,4870,73,1576,4.63
907,4309,146,3151,4.63
908,7735,22,475,4.63
909,6479,40,864,4.63
910,4534,149,3217,4.63
911,4319,139,3000,4.63
912,7693,23,497,4.63
913,2561,102,2210,4.62
914,5021,86,1862,4.62
915,5037,63,1363,4.62
916,4351,148,3203,4.62
917,4198,117,2535,4.62
918,5623,12,260,4.62
919,7607,24,519,4.62
920,7394,12,260,4.62
921,2347,174,3770,4.62
922,4248,163,3525,4.62
923,4999,23,499,4.61
924,7305,14,304,4.61
925,7758,14,304,4.61
926,4667,86,1867,4.61
927,5654,41,891,4.6
928,5334,61,1326,4.6
929,5090,46,999,4.6
930,6473,22,478,4.6
931,2879,100,2174,4.6
932,5604,32,695,4.6
933,6854,83,1803,4.6
934,5447,74,1607,4.6
935,4586,117,2547,4.59
936,4611,97,2114,4.59
